type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	Incremental exploratory visualization of relationships in large codebases for program comprehension	incremental exploratory visualization of relationships in large codebases for program comprehension	10.1145/1094855.1094933	https://dl.acm.org/doi/10.1145/1094855.1094933	Vineet Sinha, Rob Miller, David Karger	OOPSLA '05: Companion to the 20th annual ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications	16 October 2005
Article	Expert problem solving strategies for program comprehension	expert problem solving strategies for program comprehension	10.1145/108844.108863	https://dl.acm.org/doi/10.1145/108844.108863	Jürgen Koenemann, Scott P. Robertson	CHI '91: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems	01 March 1991
Article	Beacons: a knowledge structure in program comprehension	beacons a knowledge structure in program comprehension	10.5555/92449.92459	https://dl.acm.org/doi/10.5555/92449.92459	Susan Wiedenbeck, Jean Scholtz	Proceedings of the third international conference on human-computer interaction on Designing and using human-computer interfaces and knowledge based systems (2nd ed.)	01 September 1989
Article	Augmenting abstract syntax trees for program understanding	augmenting abstract syntax trees for program understanding	10.5555/786767.786825	https://dl.acm.org/doi/10.5555/786767.786825	C. A. Welty	ASE '97: Proceedings of the 12th international conference on Automated software engineering (formerly: KBSE)	02 November 1997
Article	Easing Program Comprehension by Sharing Navigation Data	easing program comprehension by sharing navigation data	10.1109/VLHCC.2005.32	https://dl.acm.org/doi/10.1109/VLHCC.2005.32	Robert DeLine, Mary Czerwinski, George Robertson	VLHCC '05: Proceedings of the 2005 IEEE Symposium on Visual Languages and Human-Centric Computing	20 September 2005
Article	A program visualization tool for program comprehension	a program visualization tool for program comprehension	10.5555/1153917.1154007	https://dl.acm.org/doi/10.5555/1153917.1154007	M. Ohki, Y. Hosaka	HCC '03: Proceedings of the 2003 IEEE Symposium on Human Centric Computing Languages and Environments	28 October 2003
Article	The Role of Concepts in Program Comprehension	the role of concepts in program comprehension	10.5555/580131.857012	https://dl.acm.org/doi/10.5555/580131.857012	Václav Rajlich, Norman Wilde	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
Article	Enhancing Program Comprehension with Recovered State Models	enhancing program comprehension with recovered state models	10.5555/580131.857002	https://dl.acm.org/doi/10.5555/580131.857002	Stéphane S. Somé, Timothy C. Lethbridge	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
Article	MOOSE - A Task-Driven Program Comprehension Environment	moose a taskdriven program comprehension environment	10.5555/645983.675104	https://dl.acm.org/doi/10.5555/645983.675104	Juergen Rilling, Ahmed Seffah	COMPSAC '01: Proceedings of the 25th International Computer Software and Applications Conference on Invigorating Software Development	08 October 2001
research-article	Program Comprehension During Software Maintenance and Evolution	program comprehension during software maintenance and evolution	10.1109/2.402076	https://dl.acm.org/doi/10.1109/2.402076	Anneliese von Mayrhauser, A. Marie Vans	Computer (COMP)	01 August 1995
chapter	PROUST: knowledge-based program understanding	proust knowledgebased program understanding	10.5555/31870.31895	https://dl.acm.org/doi/10.5555/31870.31895	W. Johnson, E. Soloway	Readings in artificial intelligence and software engineering	01 August 1986
doctoral_thesis	The cognition of end-user program comprehension	the cognition of enduser program comprehension	10.5555/926013	https://dl.acm.org/doi/book/10.5555/926013	Alec J. Engebretson, Susan Wiedenbeck		01 January 1997
article	A program understanding support environment	a program understanding support environment	10.1147/sj.282.0324	https://dl.acm.org/doi/10.1147/sj.282.0324	L. Cleveland	IBM Systems Journal (ISYJ)	01 June 1989
research-article	Program Comprehension and Code Complexity Metrics: An fMRI Study	program comprehension and code complexity metrics an fmri study	10.1109/ICSE43902.2021.00056	https://dl.acm.org/doi/10.1109/ICSE43902.2021.00056	Norman Peitek, Sven Apel, Chris Parnin, André Brechmann, Janet Siegmund	ICSE '21: Proceedings of the 43rd International Conference on Software Engineering	22 May 2021
Article	Program comprehension engines for automatic parallelization: a comparative study	program comprehension engines for automatic parallelization a comparative study	10.5555/648113.748765	https://dl.acm.org/doi/10.5555/648113.748765	Beniamino Di Martino, Christoph W. Keßler	Proceedings of the First IFIP TC10 International Workshop on Software Engineering for Parallel and Distributed Systems	01 March 1996
article	Eye tracking analysis of computer program comprehension in programmers with dyslexia	eye tracking analysis of computer program comprehension in programmers with dyslexia	10.1007/s10664-018-9649-y	https://dl.acm.org/doi/10.1007/s10664-018-9649-y	Ian Mcchesney, Raymond Bond	Empirical Software Engineering (KLU-EMSE)	01 June 2019
Article	Software Visualisation for Object-Oriented Program Comprehension	software visualisation for objectoriented program comprehension	10.5555/998675.999408	https://dl.acm.org/doi/10.5555/998675.999408	Michael J. Pacione	ICSE '04: Proceedings of the 26th International Conference on Software Engineering	23 May 2004
Article	Using Run-Time Data for Program Comprehension	using runtime data for program comprehension	10.5555/851042.857017	https://dl.acm.org/doi/10.5555/851042.857017	Thomas Gschwind, Johann Oberleitner, Martin Pinzger	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
book	Program Comprehension, 3rd Workshop on (Wpc '94)	program comprehension, 3rd workshop on (wpc 94)	10.5555/528708	https://dl.acm.org/doi/book/10.5555/528708	IEEE Computer Society Press		01 January 1994
article	Program comprehension and authentic measurement: a scheme for analysing descriptions of programs	program comprehension and authentic measurement a scheme for analysing descriptions of programs	10.1016/j.ijhcs.2003.12.010	https://dl.acm.org/doi/10.1016/j.ijhcs.2003.12.010	Judith Good, Paul Brna	International Journal of Human-Computer Studies (IJHC)	01 August 2004
Article	Program Understanding as Constraint Satisfaction	program understanding as constraint satisfaction	10.5555/527217.872965	https://dl.acm.org/doi/10.5555/527217.872965	Steven Woods, Qiang Yang	CASE '95: Proceedings of the Seventh International Workshop on Computer-Aided Software Engineering	10 July 1995
Article	Incremental exploratory visualization of relationships in large codebases for program comprehension	incremental exploratory visualization of relationships in large codebases for program comprehension	10.1145/1094855.1094891	https://dl.acm.org/doi/10.1145/1094855.1094891	Vineet Sinha, Rob Miller, David Karger	OOPSLA '05: Companion to the 20th annual ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications	16 October 2005
article	Toward A Constraint-Satisfaction Frameworkfor Evaluating Program-Understanding Algorithms	toward a constraintsatisfaction frameworkfor evaluating programunderstanding algorithms	10.1023/A%3A1008674909165	https://dl.acm.org/doi/10.1023/A%3A1008674909165	Alex Quilici, Steven Woods	Automated Software Engineering (KLU-AUSE)	01 July 1997
Article	Program Comprehension for the Purpose of Testing	program comprehension for the purpose of testing	10.5555/998682.1006832	https://dl.acm.org/doi/10.5555/998682.1006832		IWPC '04: Proceedings of the 12th IEEE International Workshop on Program Comprehension	24 June 2004
Article	Dependent types for program understanding	dependent types for program understanding	10.1007/978-3-540-31980-1_11	https://dl.acm.org/doi/10.1007/978-3-540-31980-1_11	Raghavan Komondoor, G. Ramalingam, Satish Chandra, John Field	TACAS'05: Proceedings of the 11th international conference on Tools and Algorithms for the Construction and Analysis of Systems	04 April 2005
Article	A cooperative program understanding environment	a cooperative program understanding environment	10.1109/KBSE.1994.342670	https://dl.acm.org/doi/10.1109/KBSE.1994.342670	Alex Quilici, David N. Chin	KBSE'94: Proceedings of the 9th International Conference on Knowledge-Based Software Engineering	20 September 1994
research-article	Artifact driven communication to improve program comprehension	artifact driven communication to improve program comprehension	10.1109/ICSE-C.2017.47	https://dl.acm.org/doi/10.1109/ICSE-C.2017.47	Juraj Kubelka	ICSE-C '17: Proceedings of the 39th International Conference on Software Engineering Companion	20 May 2017
Article	Bridging Program Comprehension Tools by Design Navigation	bridging program comprehension tools by design navigation	10.5555/850948.853427	https://dl.acm.org/doi/10.5555/850948.853427	Sébastien Robitaille, Reinhard Schauer, Rudolf K. Keller	ICSM '00: Proceedings of the International Conference on Software Maintenance (ICSM'00)	11 October 2000
section	Session details: APIs, metrics, DSLs, program comprehension	session details apis, metrics, dsls, program comprehension	10.1145/3256290	https://dl.acm.org/doi/10.1145/3256290	Donna Malayeri	PLATEAU '11: Proceedings of the 3rd ACM SIGPLAN workshop on Evaluation and usability of programming languages and tools	24 October 2011
Article	Program Comprehension Support for Knowledge-Based Parallelization	program comprehension support for knowledgebased parallelization	10.5555/882472.883340	https://dl.acm.org/doi/10.5555/882472.883340	Stefan Andel, Beniamino Di Martino, Jan Hulman, Hans P. Zima	PDP '96: Proceedings of the 4th Euromicro Workshop on Parallel and Distributed Processing (PDP '96)	24 January 1996
book	Program Comprehension, 2nd Workshop on (Wpc '93)	program comprehension, 2nd workshop on (wpc 93)	10.5555/530239	https://dl.acm.org/doi/book/10.5555/530239	IEEE Computer Society Press		01 January 1993
doctoral_thesis	Using signaling to aid computer program comprehension	using signaling to aid computer program comprehension	10.5555/144594	https://dl.acm.org/doi/book/10.5555/144594	Edward M. Gellenbeck		01 January 1992
Article	Applying program understanding technology to IBM product documentation	applying program understanding technology to ibm product documentation	10.5555/782185.782200	https://dl.acm.org/doi/10.5555/782185.782200	Graham Ewart, Marijana Tomic	CASCON '94: Proceedings of the 1994 conference of the Centre for Advanced Studies on Collaborative research	31 October 1994
Article	Program Comprehension Techniques Improve Software Inspections: A Case Study	program comprehension techniques improve software inspections a case study	10.5555/518049.856969	https://dl.acm.org/doi/10.5555/518049.856969	Stan Rifkin, Lionel Deimel	IWPC '00: Proceedings of the 8th International Workshop on Program Comprehension	10 June 2000
research-article	Fostering Program Comprehension in Novice Programmers - Learning Activities and Learning Trajectories	fostering program comprehension in novice programmers learning activities and learning trajectories	10.1145/3344429.3372501	https://dl.acm.org/doi/10.1145/3344429.3372501	Cruz Izu, Carsten Schulte, Ashish Aggarwal, Quintin Cutts, Rodrigo Duran, Mirela Gutica, Birte Heinemann, Eileen Kraemer, Violetta Lonati, Claudio Mirolo, Renske Weeda	ITiCSE-WGR '19: Proceedings of the Working Group Reports on Innovation and Technology in Computer Science Education	18 December 2019
research-article	Simultaneous measurement of program comprehension with fMRI and eye tracking: a case study	simultaneous measurement of program comprehension with fmri and eye tracking a case study	10.1145/3239235.3240495	https://dl.acm.org/doi/10.1145/3239235.3240495	Norman Peitek, Janet Siegmund, Chris Parnin, Sven Apel, Johannes C. Hofmeister, André Brechmann	ESEM '18: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement	11 October 2018
Article	A contribution to program comprehension by program analysis: application to numerical programs	a contribution to program comprehension by program analysis application to numerical programs	10.5555/786767.786824	https://dl.acm.org/doi/10.5555/786767.786824	Y. Ait-Ameur	ASE '97: Proceedings of the 12th international conference on Automated software engineering (formerly: KBSE)	02 November 1997
Article	Industrial Program Comprehension Challenge 2011: Archeology and Anthropology of Embedded Control Systems	industrial program comprehension challenge 2011 archeology and anthropology of embedded control systems	10.1109/ICPC.2011.50	https://dl.acm.org/doi/10.1109/ICPC.2011.50	Andrew Begel, Jochen Quante	ICPC '11: Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension	22 June 2011
